35,"00-07-09:00:00",33,"Customer",0,"EFAP"
38,"00-07-13:00:00",33,"Customer",0.21,"EFAP"
39,"00-07-14:00:00",34,"BMAC",0.2,"EFAP"
46,"00-07-30:00:00",43,"Customer",0,"Other"
58,"00-08-16:00:00",29,"Customer",0.18,"Other"
61,"00-09-01:00:00",8,"Customer",0.18,"Other"
62,"00-09-01:00:00",32,"BMAC",0,"TEFAP"
63,"00-09-01:00:00",24,"BMAC",0,"TEFAP"
64,"00-09-01:00:00",32,"BMAC",0.27,"EFAP FB"
65,"00-09-01:00:00",32,"BMAC",0,"EFAP"
66,"00-09-01:00:00",24,"BMAC",0,"EFAP"
74,"00-10-11:00:00",27,"BMAC",0,"EFAP"
75,"00-10-11:00:00",2,"BMAC",0,"EFAP"
76,"00-10-13:00:00",3,"BMAC",0,"EFAP"
77,"00-10-11:00:00",3,"BMAC",0,"EFAP"
78,"00-10-11:00:00",27,"BMAC",0.26,"EFAP FB"
79,"00-10-10:00:00",7,"Customer",0,"Other"
80,"00-10-10:00:00",42,"Customer",0,"Other"
81,"00-09-12:00:00",7,"Customer",0,"TEFAP"
82,"00-10-18:00:00",33,"BMAC",0,"TEFAP"
83,"00-10-18:00:00",33,"BMAC",0.26,"EFAP FB"
84,"00-10-18:00:00",33,"BMAC",0,"EFAP"
86,"00-10-18:00:00",25,"BMAC",0,"TEFAP"
87,"00-10-18:00:00",25,"BMAC",0,"EFAP"
88,"00-10-17:00:00",7,"Customer",0,"TEFAP"
89,"00-10-17:00:00",31,"Customer",0,"Other"
90,"00-10-17:00:00",7,"Customer",0,"Other"
91,"00-10-17:00:00",27,"Customer",0,"EFAP"
92,"00-10-24:00:00",3,"BMAC",0,"EFAP"
93,"00-10-26:00:00",27,"BMAC",0.21,"EFAP"
95,"00-10-24:00:00",1,"BMAC",0,"EFAP"
96,"00-10-24:00:00",27,"BMAC",0,"EFAP"
97,"00-10-24:00:00",2,"BMAC",0,"EFAP"
99,"00-10-20:00:00",27,"BMAC",0,"EFAP"
101,"00-10-24:00:00",27,"BMAC",0,"TEFAP"
102,"00-10-24:00:00",2,"BMAC",0,"TEFAP"
103,"00-10-24:00:00",3,"BMAC",0,"TEFAP"
104,"00-10-25:00:00",31,"Customer",0,"Other"
105,"00-10-25:00:00",7,"Customer",0,"Other"
106,"00-10-25:00:00",42,"Customer",0,"Other"
107,"00-10-27:00:00",44,"BMAC",0,"TEFAP"
108,"00-01-11:00:00",32,"BMAC",0,"TEFAP"
109,"00-01-11:00:00",24,"BMAC",0,"TEFAP"
110,"00-01-11:00:00",32,"BMAC",0,"EFAP"
111,"00-01-11:00:00",24,"BMAC",0,"EFAP"
